route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,route_fare_class,line_id,route
132,1,,Redstone Shopping Center - Malden Center Station,,,,,,,,,
134,1,,North Woburn - Wellington Station,,,,,,,,,
136,1,,Reading Depot - Malden Center Station via Lowell Street,,,,,,,,,
137,1,,Reading Depot - Malden Center Station,,,,,,,,,
170,1,,Waltham Center - Nubian Station,,,,,,,,,
171,1,,Logan Airport Terminals - Nubian Station,,,,,,,,,
195,1,,Lemuel Shattuck Hospital - Park Street & Tremont Street,,,,,,,,,
201,1,,Fields Corner Loop via Neponset Ave,,,,,,,,,
202,1,,Fields Corner Loop via Adams Street,,,,,,,,,
210,1,,Quincy Center Station - Fields Corner Station,,,,,,,,,
211,1,,Quincy Center Station - Squantum,,,,,,,,,
212,1,,Quincy Center Station - North Quincy Station,,,,,,,,,
214,1,,Germantown - Quincy Center Station,,,,,,,,,
215,1,,Quincy Center Station - Ashmont Station via West Quincy,,,,,,,,,
216,1,,Houghs Neck - Quincy Center Station via Germantown,,,,,,,,,
217,1,,Quincy Center Station - Ashmont Station via Wollaston Station,,,,,,,,,
220,1,,Hingham Depot - Quincy Center Station,,,,,,,,,
221,1,,Fort Point - Quincy Center Station,,,,,,,,,
222,1,,East Weymouth - Quincy Center Station,,,,,,,,,
225,1,,Weymouth Landing - Quincy Center Station,,,,,,,,,
226,1,,Columbian Square - Braintree Station,,,,,,,,,
230,1,,Montello Station - Quincy Center Station,,,,,,,,,
236,1,,South Shore Plaza - Quincy Center Station,,,,,,,,,
238,1,,Holbrook/Randolph Station - Quincy Center Station,,,,,,,,,
240,1,,Avon Square - Ashmont Station,,,,,,,,,
245,1,,Quincy Center Station - Mattapan Station,,,,,,,,,
325,1,,"Elm Street, Medford - Haymarket Station",,,,,,,,,
326,1,,West Medford - Haymarket Station,,,,,,,,,
350,1,,North Burlington - Alewife Station,,,,,,,,,
351,1,,Bedford Woods Drive - Third Avenue,,,,,,,,,
352,1,,"North Burlington - State Street, Boston",,,,,,,,,
354,1,,"North Burlington - State Street, Boston",,,,,,,,,
411,1,,Kennedy Drive or Jack Satter House - Malden Center Station,,,,,,,,,
424,1,,Eastern Avenue & Essex Street - Wonderland Station,,,,,,,,,
426,1,,"Central Square, Lynn - Haymarket or Wonderland Station",,,,,,,,,
428,1,,Oaklandvale - Haymarket Station,,,,,,,,,
429,1,,"Northgate Shopping Center - Central Square, Lynn",,,,,,,,,
430,1,,Saugus Center - Malden Center Station,,,,,,,,,
434,1,,"Main Street, Peabody - Haymarket Station",,,,,,,,,
435,1,,"Liberty Tree Mall - Central Square, Lynn via Peabody Square",,,,,,,,,
436,1,,"Liberty Tree Mall - Central Square, Lynn via Goodwin Circle",,,,,,,,,
439,1,,Nahant - Wonderland Station,,,,,,,,,
441,1,,Marblehead - Wonderland Station via Paradise Road,,,,,,,,,
441442,1,,Marblehead - Wonderland Station,,,,,,,,,
442,1,,Marblehead - Wonderland Station via Humphrey Street,,,,,,,,,
450,1,,Salem Depot - Wonderland or Haymarket Station,,,,,,,,,
451,1,,North Beverly Station - Salem Depot,,,,,,,,,
455,1,,Salem Depot - Wonderland Station,,,,,,,,,
456,1,,"Salem Depot - Central Square, Lynn",,,,,,,,,
465,1,,Danvers Square - Salem Depot,,,,,,,,,
501,1,,Brighton Center - Federal Street & Franklin Street,,,,,,,,,
502,1,,Watertown Yard - Copley Station,,,,,,,,,
503,1,,Brighton Center - Copley Square,,,,,,,,,
504,1,,Watertown Yard - Federal Street & Franklin Street,,,,,,,,,
505,1,,Waltham Center - Federal Street & Franklin Street,,,,,,,,,
553,1,,Roberts - Newton Corner,,,,,,,,,
554,1,,Waverley Square - Newton Corner,,,,,,,,,
556,1,,Waltham Highlands - Newton Corner,,,,,,,,,
558,1,,Riverside Station - Newton Corner,,,,,,,,,
710,1,,North Medford - Wellington Station,,,,,,,,,
712,1,,Point Shirley - Orient Heights Station via Revere Street,,,,,,,,,
713,1,,Point Shirley - Orient Heights Station via Winthrop Center,,,,,,,,,
714,1,,"Pemberton Point, Hull - Station Street, Hingham",,,,,,,,,
716,1,,Cobbs Corner - Mattapan Station,,,,,,,,,
Shuttle-AlewifeHarvard,1,,Alewife - Harvard,,,,,,,,,
Shuttle-AndersonWoburnNorthStationExpress,1,,Anderson/Woburn - North Station (Express),,,,,,,,,
Shuttle-BackBayNorthStation,1,,North Station - Back Bay,,,,,,,,,
Shuttle-BeverlyNewburyportExpress,1,,Newburyport - Beverly (Express),,,,,,,,,
Shuttle-BeverlyNewburyportLocal,1,,Newburyport - Beverly (Local),,,,,,,,,
Shuttle-Generic,1,,,,,,,,,,,
Shuttle-Generic-Blue,1,,,,,,,,,,,
Shuttle-Generic-CommuterRail,1,,,,,,,,,,,
Shuttle-Generic-CommuterRail-North,1,,,,,,,,,,,
Shuttle-Generic-CommuterRail-South,1,,,,,,,,,,,
Shuttle-Generic-Elevator,1,,,,,,,,,,,
Shuttle-Generic-Fairmount,1,,,,,,,,,,,
Shuttle-Generic-Fitchburg,1,,,,,,,,,,,
Shuttle-Generic-Franklin,1,,,,,,,,,,,
Shuttle-Generic-Green,1,,,,,,,,,,,
Shuttle-Generic-Green-B,1,,,,,,,,,,,
Shuttle-Generic-Greenbush,1,,,,,,,,,,,
Shuttle-Generic-Green-C,1,,,,,,,,,,,
Shuttle-Generic-Green-D,1,,,,,,,,,,,
Shuttle-Generic-Green-E,1,,,,,,,,,,,
Shuttle-Generic-Green-Trunk,1,,,,,,,,,,,
Shuttle-Generic-Haverhill,1,,,,,,,,,,,
Shuttle-Generic-Kingston,1,,,,,,,,,,,
Shuttle-Generic-Lowell,1,,,,,,,,,,,
Shuttle-Generic-Mattapan,1,,,,,,,,,,,
Shuttle-Generic-Middleborough,1,,,,,,,,,,,
Shuttle-Generic-Needham,1,,,,,,,,,,,
Shuttle-Generic-Newburyport,1,,,,,,,,,,,
Shuttle-Generic-Orange,1,,,,,,,,,,,
Shuttle-Generic-Providence,1,,,,,,,,,,,
Shuttle-Generic-Red,1,,,,,,,,,,,
Shuttle-Generic-Red-Ashmont,1,,,,,,,,,,,
Shuttle-Generic-Red-Braintree,1,,,,,,,,,,,
Shuttle-Generic-Red-Trunk,1,,,,,,,,,,,
Shuttle-Generic-Worcester,1,,,,,,,,,,,
Shuttle-GovernmentCenterNorthStation,1,,North Station - Government Center,,,,,,,,,
Shuttle-KenmoreRiverside,1,,Riverside - Kenmore,,,,,,,,,
Shuttle-ManchesterGloucester,1,,Manchester - Gloucester,,,,,,,,,
Shuttle-ManchesterRockport,1,,Manchester - Rockport,,,,,,,,,
Shuttle-NewburyportSalemExpress,1,,Newburyport - Salem (Express),,,,,,,,,
Shuttle-NewburyportSalemLocal,1,,Newburyport - Salem (Local),,,,,,,,,
Shuttle-AndersonWoburnNorthStationLocal,1,,Anderson/Woburn - North Station (Local),,,,,,,,,
Shuttle-RockportWestGloucester,1,,Rockport - West Gloucester,,,,,,,,,
CR-Newburyport,1,,Newburyport/Rockport,,,,,,,,,
CR-Lowell,1,,Lowell Line,,,,,,,,,
CR-Haverhill,1,,Haverhill Line,,,,,,,,,
CR-Reading,1,,Reading Line,,,,,,,,,
CR-Fitchburg,1,,Fitchburg Line,,,,,,,,,
CR-Worcester,1,,Worcester/Framingham,,,,,,,,,
CR-Providence,1,,Providence/Stoughton Line,,,,,,,,,
CR-Needham,1,,Needham Line,,,,,,,,,
CR-Fairmount,1,,Fairmount Line,,,,,,,,,
CR-Franklin,1,,Franklin Line,,,,,,,,,
CR-Greenbush,1,,Greenbush Line,,,,,,,,,
CR-Middleborough,1,,Middleborough/Lakeville Line,,,,,,,,,
CR-Plymouth,1,,Plymouth Line,,,,,,,,,
