stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type
place-DB-2230,place-DB-2230,Morton Street,,,,42.280994,-71.085475,CR-zone-1A,,,,1,,1,Boston,,,
place-DB-2230-0,place-DB-2230-0,platform 0,,,,42.280994,-71.085475,CR-zone-1A,,,,0,place-DB-2230,1,Boston,,,2
place-DB-2230-1,place-DB-2230-1,platform 1,,,,42.280994,-71.085475,CR-zone-1A,,,,0,place-DB-2230,1,Boston,,,2
place-sull,place-sull,Sullivan Square,,,,42.383975,-71.076994,,,,,1,,1,Boston,,,
place-sull-0,place-sull-0,platform 0,,,,42.383975,-71.076994,,,,,0,place-sull,1,Boston,,,2
place-sull-1,place-sull-1,platform 1,,,,42.383975,-71.076994,,,,,0,place-sull,1,Boston,,,2
70030,70030,Sullivan Square,,,,42.383975,-71.076994,RapidTransit,,,level_-1_platform,0,place-sull,1,Boston,,,1
70031,70031,Sullivan Square,,,,42.383975,-71.076994,RapidTransit,,,level_-1_platform,0,place-sull,1,Boston,,,1
place-GB-0296,place-GB-0296,West Gloucester,,,,42.611933,-70.705417,CR-zone-7,,,,1,,1,Gloucester,,,
place-GB-0296-0,place-GB-0296-0,platform 0,,,,42.611933,-70.705417,CR-zone-7,,,,0,place-GB-0296,1,Gloucester,,,2
place-GB-0296-1,place-GB-0296-1,platform 1,,,,42.611933,-70.705417,CR-zone-7,,,,0,place-GB-0296,1,Gloucester,,,2
place-rcmnl,place-rcmnl,Roxbury Crossing,,,,42.331397,-71.095451,,,,,1,,1,Boston,,,
70008,70008,Roxbury Crossing,,,,42.330671,-71.096121,RapidTransit,,,level_-1_platform,0,place-rcmnl,1,Boston,,,1
70009,70009,Roxbury Crossing,,,,42.33064,-71.09604,RapidTransit,,,level_-1_platform,0,place-rcmnl,1,Boston,,,1
place-FR-3338,place-FR-3338,Wachusett,,,,42.553477,-71.848488,CR-zone-8,,,,1,,1,Fitchburg,,,
place-FR-3338-0,place-FR-3338-0,platform 0,,,,42.553477,-71.848488,CR-zone-8,,,,0,place-FR-3338,1,Fitchburg,,,2
place-FR-3338-1,place-FR-3338-1,platform 1,,,,42.553477,-71.848488,CR-zone-8,,,,0,place-FR-3338,1,Fitchburg,,,2
place-NEC-2139,place-NEC-2139,Canton Junction,,,,42.163204,-71.15376,CR-zone-3,,,,1,,1,Canton,,,
place-NEC-2139-0,place-NEC-2139-0,platform 0,,,,42.163204,-71.15376,CR-zone-3,,,,0,place-NEC-2139,1,Canton,,,2
place-NEC-2139-1,place-NEC-2139-1,platform 1,,,,42.163204,-71.15376,CR-zone-3,,,,0,place-NEC-2139,1,Canton,,,2
place-brdwy,place-brdwy,Broadway,,,,42.342622,-71.056967,,,,,1,,1,Boston,,,
70081,70081,Broadway,,,,42.342622,-71.056967,RapidTransit,,,level_-2_platform,0,place-brdwy,1,Boston,,,1
70082,70082,Broadway,,,,42.342622,-71.056967,RapidTransit,,,level_-2_platform,0,place-brdwy,1,Boston,,,1
place-NEC-1919,place-NEC-1919,South Attleboro,,,,41.897943,-71.354621,CR-zone-7,,,,1,,1,Attleboro,,,
place-NEC-1919-0,place-NEC-1919-0,platform 0,,,,41.897943,-71.354621,CR-zone-7,,,,0,place-NEC-1919,1,Attleboro,,,2
place-NEC-1919-1,place-NEC-1919-1,platform 1,,,,41.897943,-71.354621,CR-zone-7,,,,0,place-NEC-1919,1,Attleboro,,,2
place-ER-0168,place-ER-0168,Salem,,,,42.524792,-70.895876,CR-zone-3,,,,1,,1,Salem,,,
place-ER-0168-0,place-ER-0168-0,platform 0,,,,42.524792,-70.895876,CR-zone-3,,,,0,place-ER-0168,1,Salem,,,2
place-ER-0168-1,place-ER-0168-1,platform 1,,,,42.524792,-70.895876,CR-zone-3,,,,0,place-ER-0168,1,Salem,,,2
