route_id,direction_id,direction,direction_destination
Shuttle-BraintreeSouthStationExpress,1,Inbound,South Station
Shuttle-BraintreeSouthWeymouth,0,South,Kingston
Shuttle-BraintreeSouthWeymouth,1,North,South Station
Shuttle-BridgewaterMiddleboroughLakeville,0,Outbound,Middleborough/Lakeville
Shuttle-BridgewaterMiddleboroughLakeville,1,Inbound,South Station
Shuttle-BroadwayHarvard,0,South,Ashmont/Braintree
Shuttle-BroadwayHarvard,1,North,Alewife
Shuttle-BroadwayJFK,0,South,Ashmont/Braintree
Shuttle-BroadwayJFK,1,North,Alewife
Shuttle-BroadwayKendall,0,South,Ashmont/Braintree
Shuttle-BroadwayKendall,1,North,Alewife
Shuttle-BroadwayKendallOmitDTX,0,South,Ashmont/Braintree
Shuttle-BroadwayKendallOmitDTX,1,North,Alewife
Shuttle-BroadwayNorthQuincy,0,South,Braintree
Shuttle-BroadwayNorthQuincy,1,North,Alewife
Shuttle-BroadwayQuincyCenterExpress,0,South,Braintree
Shuttle-BroadwayQuincyCenterExpress,1,North,Alewife
Shuttle-BrooklineHillsKenmore,0,West,Riverside
Shuttle-BrooklineHillsKenmore,1,East,Union Square
Shuttle-BrooklineHillsNewtonHighlands,0,West,Riverside
Shuttle-BrooklineHillsNewtonHighlands,1,East,Union Square
Shuttle-BrooklineHillsReservoir,0,West,Riverside
Shuttle-BrooklineHillsReservoir,1,East,Union Square
Shuttle-BrooklineHillsRiverside,0,West,Riverside
Shuttle-BrooklineHillsRiverside,1,East,Union Square
Shuttle-BrooklineVillageRiverside,0,West,Riverside
Shuttle-BrooklineVillageRiverside,1,East,Union Square
Shuttle-ChelseaLynn,0,Outbound,Newburyport or Rockport
Shuttle-ChelseaLynn,1,Inbound,North Station
Shuttle-ClevelandCircleCoolidgeCorner,0,West,Cleveland Circle
Shuttle-ClevelandCircleCoolidgeCorner,1,East,Government Center
Shuttle-ClevelandCircleKenmore,0,West,Cleveland Circle
Shuttle-ClevelandCircleKenmore,1,East,Government Center
Shuttle-ClevelandCircleStMarys,0,West,Cleveland Circle
Shuttle-ClevelandCircleStMarys,1,East,Government Center
Shuttle-CopleyForestHills,0,South,Forest Hills
Shuttle-CopleyForestHills,1,North,Oak Grove
Shuttle-CopleyJackson,0,South,Forest Hills
Shuttle-CopleyJackson,1,North,Oak Grove
Shuttle-CopleyKenmore,0,West,Kenmore & West
Shuttle-CopleyKenmore,1,East,Park Street & North
Shuttle-CopleyRiversideExpress,0,West,Riverside
Shuttle-CopleyRiversideExpress,1,East,Union Square
Shuttle-CopleyRiversideLimited,0,West,Riverside
Shuttle-CopleyRiversideLimited,1,East,Union Square
Shuttle-CopleyRuggles,0,South,Forest Hills
Shuttle-CopleyRuggles,1,North,Oak Grove
Shuttle-CopleyWoodlandLimited,0,West,Riverside
Shuttle-CopleyWoodlandLimited,1,East,Union Square
Shuttle-EastSomervilleMedford,0,West,Heath Street
Shuttle-EastSomervilleMedford,1,East,Medford/Tufts
Shuttle-FenwayKenmore,0,West,Riverside
Shuttle-FenwayKenmore,1,East,Union Square
Shuttle-FenwayNewtonHighlands,0,West,Riverside
Shuttle-FenwayNewtonHighlands,1,East,Union Square
Shuttle-FenwayReservoir,0,West,Riverside
Shuttle-FenwayReservoir,1,East,Union Square
Shuttle-FenwayRiverside,0,West,Riverside
Shuttle-FenwayRiverside,1,East,Union Square
Shuttle-ForestHillsJackson,0,South,Forest Hills
Shuttle-ForestHillsJackson,1,North,Oak Grove
Shuttle-ForestHillsNeedhamHeights,0,Outbound,Needham Heights
Shuttle-ForestHillsNeedhamHeights,1,Inbound,South Station
